Team,Att,Cmp,Cmp %,Yds/Att,Pass Yds,TD,INT,Rate,1st,1st%,20+,40+,Lng,Sck,SckY
JetsJets,104,64,61.5,6.1,633,5,1,90.8,34,32.7,3,1,66T,5,27
SteelersSteelers,103,62,60.2,5.5,569,2,1,77.7,29,28.2,8,0,36,5,21
BrownsBrowns,92,61,66.3,6.5,596,4,1,94.3,34,37,5,0,32,4,32
BengalsBengals,89,57,64,6,537,3,4,73.1,35,39.3,4,0,24,13,73
CardinalsCardinals,87,55,63.2,5.5,482,3,1,84.6,25,28.7,6,0,29,4,33
CommandersCommanders,87,57,65.5,7.5,650,7,3,100.3,31,35.6,10,2,49T,6,37
DolphinsDolphins,83,59,71.1,8.9,739,7,2,116.5,35,42.2,8,4,60T,4,36
ChargersChargers,82,59,72,7.5,613,6,1,112.5,27,32.9,8,1,42,2,8
ColtsColts,80,48,60,6.8,547,1,4,63.9,26,32.5,7,0,39,7,43
VikingsVikings,78,50,64.1,6.4,498,3,3,78.9,28,35.9,6,1,64,3,27
RamsRams,77,56,72.7,6.6,512,4,5,80.6,30,39,5,0,29,8,49
RaidersRaiders,76,47,61.8,7.2,547,4,3,84.7,31,40.8,9,1,41,7,47
TexansTexans,75,42,56,5.6,417,2,0,80.8,18,24,6,1,42,6,41
ChiefsChiefs,74,54,73,8,595,7,0,127.9,33,44.6,8,1,41T,1,9
SaintsSaints,74,48,64.9,6.8,505,3,3,81.2,21,28.4,8,2,51,10,63
CowboysCowboys,73,40,54.8,5.9,433,1,1,71.3,19,26,5,1,46,5,30
BroncosBroncos,73,43,58.9,7.7,559,2,1,86.5,24,32.9,9,1,67T,5,28
JaguarsJaguars,72,49,68.1,7.1,510,3,1,96.4,27,37.5,5,1,49,2,15
BillsBills,71,52,73.2,8.6,614,7,2,120.3,28,39.4,7,3,53T,3,9
LionsLions,71,41,57.8,6.6,471,6,1,100.2,24,33.8,8,1,49,4,32
PatriotsPatriots,65,42,64.6,7.2,465,2,2,83.2,20,30.8,5,2,44T,2,20
PackersPackers,64,45,70.3,7.7,494,2,1,96.7,23,35.9,8,1,55,7,56
EaglesEagles,63,44,69.8,9.1,576,1,1,97.1,25,39.7,6,2,54,4,14
BuccaneersBuccaneers,61,36,59,6.6,402,2,1,82.8,17,27.9,6,2,48,3,19
FalconsFalcons,59,37,62.7,7,411,2,2,80.5,19,32.2,4,0,39,3,25
RavensRavens,59,38,64.4,9,531,6,1,120.1,21,35.6,6,2,75T,2,2
SeahawksSeahawks,59,47,79.7,6.6,392,2,2,91.5,19,32.2,3,0,38T,4,35
TitansTitans,57,32,56.1,6.8,389,2,2,74.4,19,33.3,7,0,31,3,16
PanthersPanthers,56,30,53.6,6.8,380,2,1,79.5,14,25,5,2,75T,6,44
GiantsGiants,55,39,70.9,6.6,364,3,1,99.4,15,27.3,2,1,65T,8,46
49ers49ers,52,28,53.8,6.7,348,1,1,73.2,13,25,5,1,44T,3,9
BearsBears,28,15,53.6,6.8,191,2,2,69.2,6,21.4,3,1,51T,5,38
