Team,Att,Rush Yds,YPC,TD,20+,40+,Lng,Rush 1st,Rush 1st%,Rush FUM
49ers49ers,82,365,4.4,3,3,1,51T,22,26.8,2
BrownsBrowns,76,401,5.3,4,5,0,25T,23,30.3,0
FalconsFalcons,65,291,4.5,2,0,0,16,17,26.2,2
GiantsGiants,65,341,5.2,1,2,1,68T,19,29.2,1
BearsBears,64,279,4.4,2,2,0,28,15,23.4,1
BuccaneersBuccaneers,63,224,3.6,0,0,0,17T,10,15.9,1
BengalsBengals,59,222,3.8,0,2,0,31,8,13.6,0
PackersPackers,56,314,5.6,2,2,0,36,21,37.5,1
JaguarsJaguars,55,219,4,2,3,0,37T,12,21.8,0
ChargersChargers,55,151,2.8,0,0,0,12,10,18.2,0
PatriotsPatriots,53,202,3.8,1,0,0,16T,13,24.5,0
LionsLions,52,372,7.2,3,3,3,58,14,26.9,0
BroncosBroncos,51,252,4.9,0,0,0,19,10,19.6,2
ColtsColts,51,231,4.5,1,2,0,21,14,27.4,2
CardinalsCardinals,50,246,4.9,3,2,0,30,17,34,1
CommandersCommanders,49,173,3.5,1,1,0,21,13,26.5,1
RavensRavens,46,218,4.7,1,1,1,79T,10,21.7,2
TexansTexans,46,157,3.4,0,0,0,12,11,23.9,0
CowboysCowboys,45,178,4,1,0,0,17,11,24.4,0
ChiefsChiefs,45,221,4.9,1,2,1,52T,9,20,3
RamsRams,44,117,2.7,1,0,0,18,9,20.4,0
SteelersSteelers,44,166,3.8,0,0,0,18,9,20.4,0
PanthersPanthers,42,200,4.8,2,1,1,49,11,26.2,3
DolphinsDolphins,41,151,3.7,0,1,0,28,8,19.5,0
SaintsSaints,39,253,6.5,1,1,1,57,11,28.2,1
EaglesEagles,39,216,5.5,4,2,0,24,13,33.3,0
JetsJets,37,176,4.8,0,2,0,23,6,16.2,0
RaidersRaiders,34,144,4.2,0,0,0,18,5,14.7,0
SeahawksSeahawks,33,112,3.4,0,1,0,26,6,18.2,1
VikingsVikings,28,126,4.5,0,0,0,16,7,25,0
TitansTitans,26,93,3.6,0,0,0,18,2,7.7,1
BillsBills,25,121,4.8,1,0,0,13,7,28,2
